France,Germany,Vietnam,Cyprus,Greece,Haiti,Brazil,India
5,5,2,0,0,0,0,1
95,61,14,0,4,0,2,2
52129,61847,196,230,1152,15,5715,1394
140289,97206,58,613,1435,61,81470,33466
22550,22363,58,100,326,1508,428950,155746
17547,12777,27,53,492,4263,916328,394872
22991,14439,203,88,1068,1531,1257782,1110507
93408,33683,486,403,5840,831,1244378,1995178
283439,46838,50,256,8158,531,902536,2621418
803091,229534,86,2474,20776,314,720398,1871498
901776,535116,167,6166,66020,218,804202,1278727
398270,665868,118,11963,33579,727,1339067,823900
577182,496626,352,8881,18107,1534,1527489,470901
559352,225973,631,3708,34143,897,1349570,354631
888803,366537,155,11170,72589,328,2205301,1109424
972456,572724,325,20097,81344,298,1911712,6943304
399809,299529,4504,7281,57273,1295,1882784,9010075
108355,47015,9620,3069,20150,4211,2012408,2236590
352170,41024,133008,26374,70848,1515,1351850,1244190
624267,173691,312036,12384,94660,819,863050,1155021
263713,284645,328659,4833,67803,751,522288,955862
153595,370049,130367,3874,86403,2313,382263,519107
508751,1239263,316960,10456,196733,1215,285518,310962
2297738,1313609,493175,32354,271950,810,191696,264803
9178378,2665111,544470,89919,729870,3232,3171691,6607920
3559127,4929574,1167758,65770,480941,1125,3333041,1461546
2912650,6611988,6121124,108210,608765,205,1155099,94730
3031191,3452746,1085200,49494,293493,143,496566,53413
544504,1008620,48371,5866,71719,35,253664,46182
